,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,WORLD SALES,,,,,,,,,,,,,,,,,,,,,,"2020, December Results "
,,Including Jinbei & Huasong ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,PROPRIETE RENAULT
,,MONTH,,,,,,,,,,,,YTD,,,,,,,,,,
,,TIV,,,,Volumes,,,,Market Share,,,,TIV,,,,Volumes,,,,Market Share,,
PC+LCV - Group,,Volumes Ku,Vol Y-1,∆ (U),∆ %,Volumes  u,Vol Y-1,∆ (U),∆ %,MS,Pdm Y-1,∆ pt,,Volumes Ku,Vol y-1,∆ Vol.,∆ %,Volumes  u,Vol y-1,∆ (U),∆ %,MS,MS y-1,∆ pt
,,,,Y-1,vs Y-1,,,vs Y-1,vs Y-1,%,,vs Y-1,,,,Y-1,vs Y-1,,,Y-1,vs Y-1,%,,vs Y-1
Belgium+Luxembourg Sales,,,,,,5156,6659,-1503,-22.5709566000901%,,,,,,,,,88762,88576,186,0.209989161849711%,,,
Central,,52.197,62.214,-10.017,-16.1008776159707%,3920,5109,-1189,-23.2726560970836%,7.51001015384026,8.21197801138008,-0.701967857539817,,721.067,742.554,-21.4870000000001,-2.89366160575528%,58869,60513,-1644,-2.7167716027961%,8.16415118151295,8.14930631307622,0.0148448684367324
Switzerland,,30.166,33.75,-3.584,-10.6192592592593%,1841,2512,-671,-26.7117834394904%,6.10289730159783,7.44296296296296,-1.34006566136514,,336.163,348.886,-12.723,-3.64674994124156%,25500,26729,-1229,-4.5980021699278%,7.58560579242808,7.6612417809829,-0.0756359885548221
Austria,,22.031,28.464,-6.433,-22.6004777965149%,2079,2597,-518,-19.9460916442049%,9.43670282783351,9.12380550871276,0.312897319120747,,384.904,393.668,-8.76400000000001,-2.22624140138391%,33369,33784,-415,-1.22839213829031%,8.66943445638393,8.58185069652601,0.0875837598579228
Nordic,,66.808,89.802,-22.994,-25.605220373711%,6324,9529,-3205,-33.6341693776892%,9.46593222368579,10.6111222467206,-1.14519002303478,,1006.876,1047.888,-41.0120000000001,-3.91377704487503%,57044,64772,-7728,-11.9310813314395%,5.6654444042762,6.18119493686348,-0.515750532587285
Sweden,,26.873,40.263,-13.39,-33.2563395673447%,3020,4441,-1421,-31.9972979058771%,11.2380456219998,11.0299778953382,0.208067726661627,,410.503,435.033,-24.53,-5.63865269991013%,24065,27338,-3273,-11.9723461847977%,5.86232012920734,6.28412097473065,-0.421800845523315
Denmark,,16.637,19.921,-3.284,-16.4851162090256%,1649,2746,-1097,-39.9490167516387%,9.91164272404881,13.7844485718588,-3.87280584781004,,253.187,258.673,-5.48599999999999,-2.12082436125919%,19570,23612,-4042,-17.1184143655768%,7.72946478294699,9.12812701750859,-1.3986622345616
Finland,,7.263,9.221,-1.958,-21.2341394642664%,1082,1613,-531,-32.9200247985121%,14.8974253063472,17.4926797527383,-2.59525444639108,,136.699,134.583,2.11600000000001,1.57226395607173%,6217,7422,-1205,-16.2355160334142%,4.54794841220492,5.51481242058804,-0.966864008383121
Norway,,15.457,19.334,-3.877,-20.0527568014896%,525,619,-94,-15.1857835218094%,3.39651937633435,3.20161373745733,0.194905638877018,,186.616,196.103,-9.487,-4.83776382819232%,5478,4371,1107,25.3260123541524%,2.93543961932525,2.22893071498141,0.706508904343833
Iceland,,0.578,1.063,-0.485,-45.6255879586077%,48,110,-62,-56.3636363636364%,8.30449826989619,10.3480714957667,-2.04357322587051,,19.871,23.496,-3.625,-15.4281579843378%,1714,2029,-315,-15.5248891079349%,8.62563534799456,8.63551242764726,-0.00987707965269458
East,,93.247,103.541,-10.294,-9.94195536067839%,10707,13888,-3181,-22.9046658986175%,11.4824069407059,13.4130441081311,-1.93063716742521,,1234.55,1156.356,78.1940000000002,6.76210440383414%,132019,124077,7942,6.40086397962556%,10.6936940585638,10.7300001037743,-0.0363060452104218
Poland,,52.373,54.204,-1.831,-3.37797948490887%,5427,6529,-1102,-16.8785418900291%,10.3622095354477,12.0452365139104,-1.68302697846276,,599.065,546.763,52.302,9.56575335200078%,63947,60494,3453,5.70800409958012%,10.6744677121848,11.0640259125069,-0.38955820032206
Baltic States,,5.477,5.622,-0.145,-2.57915332621842%,575,729,-154,-21.1248285322359%,10.4984480555048,12.9669156883671,-2.46846763286229,,86.941,78.733,8.208,10.4251076422847%,8915,7702,1213,15.7491560633602%,10.2540803533431,9.78242922281635,0.471651130526718
Estonia,,5.477,1.82,3.657,200.934065934066%,575,346,229,66.1849710982659%,10.4984480555048,19.010989010989,-8.51254095548417,,35.381,30.452,4.929,16.1861289898857%,4812,3863,949,24.5663991716283%,13.6005200531359,12.6855378957047,0.914982157431149
Latvia,,0,1.586,-1.586,-100%,0,141,-141,-100%,0,8.89029003783102,-8.89029003783102,,18.069,19.035,-0.966000000000001,-5.0748620961387%,1546,1373,173,12.6001456664239%,8.55609054181194,7.21302863146835,1.3430619103436
Lithuania,,0,2.216,-2.216,-100%,0,242,-242,-100%,0,10.9205776173285,-10.9205776173285,,33.491,29.246,4.245,14.5148054434795%,2557,2466,91,3.69018653690187%,7.63488698456302,8.43192231416262,-0.797035329599606
Poland+Baltic states,,57.85,59.826,-1.97600000000001,-3.30291177748806%,6002,7258,-1256,-17.3050427114908%,10.3751080380294,12.1318490288503,-1.75674099082095,,686.006,625.496,60.51,9.67392277488586%,72862,68196,4666,6.84204352161417%,10.6211899021291,10.9027076112397,-0.281517709110585
Czech Republic,,16.213,21.843,-5.63,-25.77484777732%,1978,3044,-1066,-35.0197109067017%,12.2000863504595,13.935814677471,-1.73572832701154,,281.662,290.706,-9.04400000000004,-3.11104689961681%,28729,28990,-261,-0.90031045187996%,10.1998139614147,9.97227439406135,0.227539567353393
Slovakia,,6.719,8.651,-1.932,-22.3326783030863%,711,1192,-481,-40.3523489932886%,10.5819318350945,13.7787539012831,-3.19682206618858,,107.233,103.689,3.54400000000001,3.41791318269056%,11053,10151,902,8.88582405674319%,10.3074613225406,9.78985234692205,0.51760897561859
Hungary,,12.465,13.221,-0.756,-5.71817562968006%,2016,2394,-378,-15.7894736842105%,16.173285198556,18.1075561606535,-1.93427096209755,,159.649,136.465,23.184,16.9889715311618%,19375,16740,2635,15.7407407407407%,12.1359983463724,12.2668816179973,-0.130883271624933
Mid CE,,35.397,43.715,-8.318,-19.0277936635022%,4705,6630,-1925,-29.0346907993967%,13.2920869000198,15.1664188493652,-1.87433194934544,,548.544,530.86,17.684,3.3311984327318%,59157,55881,3276,5.86245772266065%,10.7843673433672,10.5265041630562,0.257863180310995
Adriatic,,12.373,11.621,0.752000000000001,6.47104380001722%,2722,2040,682,33.4313725490196%,21.9995150731431,17.5544273298339,4.44508774330921,,207.626,189.085,18.541,9.8056429648042%,36308,33034,3274,9.91100078706786%,17.4872125841658,17.47044979771,0.016762786455736
Slovenia,,4.639,5.046,-0.407,-8.06579468886247%,1115,1036,79,7.62548262548262%,24.035352446648,20.5311137534681,3.50423869317989,,85.571,83.041,2.53,3.04668778073482%,16202,16616,-414,-2.49157438613384%,18.9339846443304,20.0093929504703,-1.07540830613981
Croatia,,3.139,2.775,0.364,13.1171171171171%,714,401,313,78.0548628428928%,22.7460974832749,14.4504504504505,8.29564703282448,,68.996,59.304,9.69199999999999,16.3429111021179%,11118,8599,2519,29.2941039655774%,16.1139776218911,14.4998651018481,1.61411252004302
Balkan States,,4.595,3.8,0.795,20.9210526315789%,893,603,290,48.0928689883914%,19.4341675734494,15.8684210526316,3.56574652081783,,53.059,46.74,6.319,13.5194694052204%,8988,7819,1169,14.9507609668756%,16.9396332384704,16.7287120239623,0.210921214508037
Serbia,,2.55,2.12,0.43,20.2830188679245%,453,382,71,18.586387434555%,17.7647058823529,18.0188679245283,-0.254162042175359,,28,25.37,2.63,10.3665746945211%,4834,4219,615,14.5769139606542%,17.2642857142857,16.6298778084352,0.634407905850559
Montenegro,,0.547,0.454,0.093,20.4845814977974%,187,38,149,392.105263157895%,34.1864716636197,8.37004405286344,25.8164276107563,,6.823,5.823,1,17.1732783788425%,2199,1475,724,49.0847457627119%,32.2292246812253,25.3305856087927,6.89863907243255
Bosnia,,0.934,0.835,0.0990000000000001,11.8562874251497%,152,120,32,26.6666666666667%,16.2740899357602,14.3712574850299,1.90283245073023,,11.3,10.102,1.198,11.8590378142942%,1423,1504,-81,-5.38563829787234%,12.5929203539823,14.8881409621857,-2.2952206082034
Macedonia,,0.369,0.275,0.094,34.1818181818182%,101,63,38,60.3174603174603%,27.3712737127371,22.9090909090909,4.46218280364622,,4.4,3.777,0.623,16.4945724119672%,532,621,-89,-14.3317230273752%,12.0909090909091,16.4416203335981,-4.350711242689
Albania,,0.195,0.116,0.079,68.1034482758621%,0,0,0,0%,0,0,0,,2.536,1.668,0.868,52.0383693045564%,0,0,0,0%,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
AFRICA MIDDLE EAST INDIA excI IRAN,,533.165,527.739,5.42600000000005,1.02815975321136%,38764,34608,4156,12.0087840961627%,7.27054476569167,6.55778708793551,0.712757677756155,,6829.536,6554.955,274.581000000001,4.18890747533738%,347612,347538,74,0.0212926356254473%,5.0898333356761,5.30191282777685,-0.212079492100751
IRAN,,0,130.679,-130.679,-100%,0,18774,-18774,-100%,0,14.3665011210677,-14.3665011210677,,959.628,1429.172,-469.544,-32.8542680657052%,101347,184580,-83233,-45.0931845270343%,10.5610715819047,12.9151704623376,-2.35409888043298
Iran CKD,,0,130.679,-130.679,-100%,0,17217,-17217,-100%,0,13.1750319485151,-13.1750319485151,,959.628,1429.172,-469.544,-32.8542680657052%,96000,162079,-66079,-40.7696246891948%,10.0038765021446,11.3407623435108,-1.33688584136621
Iran CBU,,,,,,0,1557,-1557,-100%,,,,,,,,,5347,22501,-17154,-76.2366117061464%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
AFRICA MIDDLE EAST INDIA REGION,,533.165,659.975,-126.81,-19.2143641804614%,38764,53382,-14618,-27.3837623168858%,7.27054476569167,8.08848820031062,-0.817943434618949,,7794.511,8006.628,-212.117,-2.64926758180848%,448959,532118,-83159,-15.627924633258%,5.75993798712966,6.64596881483691,-0.886030827707246
DT ALGERIA,,12.72,10.047,2.673,26.6049567034936%,7679,6868,811,11.808386721025%,60.3694968553459,68.3587140439932,-7.98921718864732,,127.3,101.183,26.117,25.811648201773%,73907,65621,8286,12.6270553633745%,58.057344854674,64.8537797851418,-6.79643493046777
Algeria,,12.72,10.047,2.673,26.6049567034936%,7160,6525,635,9.73180076628353%,56.2893081761006,64.9447596297402,-8.65545145363959,,127.3,101.183,26.117,25.811648201773%,70937,61922,9015,14.558638286877%,55.7242733699922,61.1980273366079,-5.47375396661578
Brokers Maghreb,,,,,,519,343,176,51.3119533527697%,,,,,,,,,2970,3699,-729,-19.7080291970803%,,,
MOROCCO,,22.564,19.126,3.438,17.9755306912057%,9074,7553,1521,20.1376936316695%,40.2145009750044,39.4907455819304,0.723755393074065,,177.361,168.593,8.768,5.20069042012421%,75418,70540,4878,6.91522540402609%,42.5223132481211,41.8404085578879,0.681904690233132
