Завантаження даних за 365 днів...
=== ПОЧАТОК GRID SEARCH ===
Вікно: 10 | LR: 0.0086 --> Train Loss: 0.005252 | Val Loss: 0.007209
Вікно: 10 | LR: 0.0090 --> Train Loss: 0.006431 | Val Loss: 0.007326
Вікно: 10 | LR: 0.0093 --> Train Loss: 0.004987 | Val Loss: 0.009992
Вікно: 10 | LR: 0.0097 --> Train Loss: 0.006813 | Val Loss: 0.009387
Вікно: 10 | LR: 0.0100 --> Train Loss: 0.005247 | Val Loss: 0.006555
Вікно: 12 | LR: 0.0001 --> Train Loss: 0.103825 | Val Loss: 0.009043
Вікно: 12 | LR: 0.0004 --> Train Loss: 0.009484 | Val Loss: 0.008589
Вікно: 12 | LR: 0.0008 --> Train Loss: 0.010595 | Val Loss: 0.009655
Вікно: 12 | LR: 0.0011 --> Train Loss: 0.009026 | Val Loss: 0.009839
Вікно: 12 | LR: 0.0015 --> Train Loss: 0.008186 | Val Loss: 0.008096
Вікно: 12 | LR: 0.0018 --> Train Loss: 0.008661 | Val Loss: 0.010174
Вікно: 12 | LR: 0.0021 --> Train Loss: 0.005193 | Val Loss: 0.008727
Вікно: 12 | LR: 0.0025 --> Train Loss: 0.007768 | Val Loss: 0.008927
Вікно: 12 | LR: 0.0028 --> Train Loss: 0.008438 | Val Loss: 0.008102
Вікно: 12 | LR: 0.0032 --> Train Loss: 0.006751 | Val Loss: 0.007464
Вікно: 12 | LR: 0.0035 --> Train Loss: 0.007743 | Val Loss: 0.009083
Вікно: 12 | LR: 0.0039 --> Train Loss: 0.008044 | Val Loss: 0.008743
Вікно: 12 | LR: 0.0042 --> Train Loss: 0.007624 | Val Loss: 0.009362
Вікно: 12 | LR: 0.0045 --> Train Loss: 0.007211 | Val Loss: 0.008186
Вікно: 12 | LR: 0.0049 --> Train Loss: 0.005923 | Val Loss: 0.009516
Вікно: 12 | LR: 0.0052 --> Train Loss: 0.007468 | Val Loss: 0.009069
Вікно: 12 | LR: 0.0056 --> Train Loss: 0.004266 | Val Loss: 0.008053
Вікно: 12 | LR: 0.0059 --> Train Loss: 0.004983 | Val Loss: 0.009390
Вікно: 12 | LR: 0.0062 --> Train Loss: 0.005964 | Val Loss: 0.007701
Вікно: 12 | LR: 0.0066 --> Train Loss: 0.006390 | Val Loss: 0.007769
Вікно: 12 | LR: 0.0069 --> Train Loss: 0.006684 | Val Loss: 0.011151
Вікно: 12 | LR: 0.0073 --> Train Loss: 0.006998 | Val Loss: 0.008807
Вікно: 12 | LR: 0.0076 --> Train Loss: 0.006060 | Val Loss: 0.011649
Вікно: 12 | LR: 0.0080 --> Train Loss: 0.006158 | Val Loss: 0.008046
Вікно: 12 | LR: 0.0083 --> Train Loss: 0.006487 | Val Loss: 0.008014
Вікно: 12 | LR: 0.0086 --> Train Loss: 0.005197 | Val Loss: 0.009249
Вікно: 12 | LR: 0.0090 --> Train Loss: 0.005320 | Val Loss: 0.009234
Вікно: 12 | LR: 0.0093 --> Train Loss: 0.003869 | Val Loss: 0.005088
Вікно: 12 | LR: 0.0097 --> Train Loss: 0.006874 | Val Loss: 0.008337
Вікно: 12 | LR: 0.0100 --> Train Loss: 0.005780 | Val Loss: 0.008346
Вікно: 15 | LR: 0.0001 --> Train Loss: 0.420829 | Val Loss: 0.138891
Вікно: 15 | LR: 0.0004 --> Train Loss: 0.010945 | Val Loss: 0.014379
Вікно: 15 | LR: 0.0008 --> Train Loss: 0.010681 | Val Loss: 0.014543
Вікно: 15 | LR: 0.0011 --> Train Loss: 0.009337 | Val Loss: 0.010115
Вікно: 15 | LR: 0.0015 --> Train Loss: 0.006562 | Val Loss: 0.011000
Вікно: 15 | LR: 0.0018 --> Train Loss: 0.008617 | Val Loss: 0.009167
Вікно: 15 | LR: 0.0021 --> Train Loss: 0.009155 | Val Loss: 0.008884
Вікно: 15 | LR: 0.0025 --> Train Loss: 0.007917 | Val Loss: 0.007948
Вікно: 15 | LR: 0.0028 --> Train Loss: 0.008177 | Val Loss: 0.008612
Вікно: 15 | LR: 0.0032 --> Train Loss: 0.006484 | Val Loss: 0.011026
Вікно: 15 | LR: 0.0035 --> Train Loss: 0.007388 | Val Loss: 0.010736
Вікно: 15 | LR: 0.0039 --> Train Loss: 0.008774 | Val Loss: 0.009812
Вікно: 15 | LR: 0.0042 --> Train Loss: 0.006293 | Val Loss: 0.008188
Вікно: 15 | LR: 0.0045 --> Train Loss: 0.008769 | Val Loss: 0.009663
Вікно: 15 | LR: 0.0049 --> Train Loss: 0.007481 | Val Loss: 0.008723
Вікно: 15 | LR: 0.0052 --> Train Loss: 0.008003 | Val Loss: 0.010171
Вікно: 15 | LR: 0.0056 --> Train Loss: 0.007143 | Val Loss: 0.008718
Вікно: 15 | LR: 0.0059 --> Train Loss: 0.007177 | Val Loss: 0.008569
Вікно: 15 | LR: 0.0062 --> Train Loss: 0.006047 | Val Loss: 0.009656
Вікно: 15 | LR: 0.0066 --> Train Loss: 0.007741 | Val Loss: 0.009698
Вікно: 15 | LR: 0.0069 --> Train Loss: 0.005190 | Val Loss: 0.005903
Вікно: 15 | LR: 0.0073 --> Train Loss: 0.006889 | Val Loss: 0.008062
Вікно: 15 | LR: 0.0076 --> Train Loss: 0.005997 | Val Loss: 0.008944
Вікно: 15 | LR: 0.0080 --> Train Loss: 0.006617 | Val Loss: 0.008234
Вікно: 15 | LR: 0.0083 --> Train Loss: 0.005332 | Val Loss: 0.006726
Вікно: 15 | LR: 0.0086 --> Train Loss: 0.007083 | Val Loss: 0.008373
Вікно: 15 | LR: 0.0090 --> Train Loss: 0.006869 | Val Loss: 0.007961
Вікно: 15 | LR: 0.0093 --> Train Loss: 0.005154 | Val Loss: 0.009833
Вікно: 15 | LR: 0.0097 --> Train Loss: 0.004867 | Val Loss: 0.008732
Вікно: 15 | LR: 0.0100 --> Train Loss: 0.007011 | Val Loss: 0.008395
Вікно: 17 | LR: 0.0001 --> Train Loss: 0.226641 | Val Loss: 0.032446
Вікно: 17 | LR: 0.0004 --> Train Loss: 0.010573 | Val Loss: 0.009123
Вікно: 17 | LR: 0.0008 --> Train Loss: 0.012085 | Val Loss: 0.009847
Вікно: 17 | LR: 0.0011 --> Train Loss: 0.007618 | Val Loss: 0.008168
Вікно: 17 | LR: 0.0015 --> Train Loss: 0.009716 | Val Loss: 0.008986
Вікно: 17 | LR: 0.0018 --> Train Loss: 0.009231 | Val Loss: 0.008329
Вікно: 17 | LR: 0.0021 --> Train Loss: 0.007181 | Val Loss: 0.008824
Вікно: 17 | LR: 0.0025 --> Train Loss: 0.008137 | Val Loss: 0.008801
Вікно: 17 | LR: 0.0028 --> Train Loss: 0.009716 | Val Loss: 0.011837
Вікно: 17 | LR: 0.0032 --> Train Loss: 0.005222 | Val Loss: 0.007806
Вікно: 17 | LR: 0.0035 --> Train Loss: 0.007918 | Val Loss: 0.008084
Вікно: 17 | LR: 0.0039 --> Train Loss: 0.005596 | Val Loss: 0.010707
Вікно: 17 | LR: 0.0042 --> Train Loss: 0.007322 | Val Loss: 0.008579
Вікно: 17 | LR: 0.0045 --> Train Loss: 0.005340 | Val Loss: 0.009334
Вікно: 17 | LR: 0.0049 --> Train Loss: 0.007145 | Val Loss: 0.011163
Вікно: 17 | LR: 0.0052 --> Train Loss: 0.004081 | Val Loss: 0.006498
Вікно: 17 | LR: 0.0056 --> Train Loss: 0.004162 | Val Loss: 0.009035
Вікно: 17 | LR: 0.0059 --> Train Loss: 0.006667 | Val Loss: 0.007680
Вікно: 17 | LR: 0.0062 --> Train Loss: 0.007874 | Val Loss: 0.009230
Вікно: 17 | LR: 0.0066 --> Train Loss: 0.006278 | Val Loss: 0.009287
Вікно: 17 | LR: 0.0069 --> Train Loss: 0.004926 | Val Loss: 0.010236
Вікно: 17 | LR: 0.0073 --> Train Loss: 0.005033 | Val Loss: 0.008179
Вікно: 17 | LR: 0.0076 --> Train Loss: 0.005156 | Val Loss: 0.006767
Вікно: 17 | LR: 0.0080 --> Train Loss: 0.006215 | Val Loss: 0.009251
Вікно: 17 | LR: 0.0083 --> Train Loss: 0.005082 | Val Loss: 0.009673
Вікно: 17 | LR: 0.0086 --> Train Loss: 0.005892 | Val Loss: 0.006743
Вікно: 17 | LR: 0.0090 --> Train Loss: 0.005638 | Val Loss: 0.008825
Вікно: 17 | LR: 0.0093 --> Train Loss: 0.006249 | Val Loss: 0.009625
Вікно: 17 | LR: 0.0097 --> Train Loss: 0.004934 | Val Loss: 0.007847
Вікно: 17 | LR: 0.0100 --> Train Loss: 0.007805 | Val Loss: 0.008358
